,docket,term,quest_total,word_total,jquest_p,jquest_r,jwords_p,jwords_r,NYT,UnanVote,CloseVote,votes_total,dec_type,led,analu,fulldocket,us,sct,rec,party_1,party_2,lctdir,chief,natct,issue,value,dir,dis,win,vote,stwtdir,mardir,brndir,bwdir,jackdir,blkmdir,powdir,rehndir,stevdir,ocondir,scaldir,kendir,soutdir,thomdir,gindir,brydir,robtdir,altodir,stwtm,marm,brnm,bwm,burgm,blkmm,powm,rehnm,stevm,oconm,scalm,kenm,soutm,thomm,ginm,brym,robtm,altom,moa,win_oconnor,win_rehnquist,petac,respac,otherac,totalac,sgpet,sgresp,sgpetac,sgrespac,sgotherac,sgamicus,liberalac,conservac,sglibparty,sgconparty,sglibac,sgconac,no_cases,more_words,more_quest,WPerQR,WPerQP,USParty1,USParty2,civlib,economics,judpower,federalism,logno_cases,logquest_total,logword_total,Dummy94,term1979,term1980,term1981,term1982,term1983,term1984,term1985,term1986,term1987,term1988,term1989,term1990,term1991,term1992,term1993,term1994,term1995,term1996,term1997,term1998,term1999,term2000,term2001,term2002,term2003,term2004,term2005,term2006,term2007,counter,MQ,_Ilctdir_1,_IlctXMQ_1,OtherVote,USParty,log_quest_total,log_word_total,win_stevens,win_ginsburg,win_souter,win_breyer,win_kennedy,win_alito,win_roberts,win_scalia,win_thomas
597,82-5279,1983,98,2180,39,59,922,1258,0. no,0. no,1. yes,9,1. orally argued signed opinion,079/0458,0. case citation,"No. 82-5279, No. 82-5331",465/0482,104/1172,0,IL OF,US,1. liberal,2. burger,BURG7,650,8. economic activity,1. liberal,1. affirmed,Respondent Wins,54,NA,1. liberal,0. conservative,1. liberal,NA,1. liberal,1. liberal,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,0. dissent,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,0,0,0,0,0,1,0,0,0,0,0,0,Yes,No,No,No,149,1. respondent more words,1,21.32203484,23.64102554,0. no,1. yes,0. no,1. yes,0. no,0. no,5.003946304,4.584967613,7.687080383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,1. yes,4.584967613,7.687080383,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
598,83-558,1983,74,1613,28,46,800,813,0. no,1. yes,0. no,9,1. orally argued signed opinion,082/0664,0. case citation,No. 83-558,468/0883,104/3371,0,TXSCHDIS,HANDICAP,1. liberal,2. burger,BURG7,331,2. civil rights,1. liberal,1. affirmed,Respondent Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,0. Respondent,0. Respondent,1,4,2,7,0,0,0,0,0,0,4,1,No,No,No,No,149,1. respondent more words,1,17.67391396,28.5714283,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.304065228,7.385850906,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,0. no,4.304065228,7.385850906,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
599,82-1554,1983,198,3930,70,128,1280,2650,0. no,0. no,0. no,9,1. orally argued signed opinion,080/0674,0. case citation,No. 82-1554,466/0668,104/2052,0,FL,CC,1. liberal,2. burger,BURG7,30,1. criminal procedure,0. conservative,2. reversed,Petitioner Wins,81,NA,1. liberal,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,3,1,0,4,0,0,1,0,0,1,1,3,No,No,No,Yes,149,1. respondent more words,1,20.703125,18.2857151,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,5.288267136,8.276394844,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,0. no,5.288267136,8.276394844,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
600,82-357,1983,135,2950,67,68,1417,1533,0. no,0. no,1. yes,9,7. judgment of the court,078/0477,0. case citation,No. 82-357,464/0287,104/0641,0,MI,ARRESTEE,1. liberal,2. burger,BURG7,16,1. criminal procedure,1. liberal,1. affirmed,Respondent Wins,54,NA,1. liberal,1. liberal,1. liberal,NA,0. conservative,1. liberal,0. conservative,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,0. dissent,1. majority,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,BRN,1. Petitioner,1. Petitioner,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,149,1. respondent more words,1,22.54411697,21.14925385,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.905274868,7.989560604,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,0. no,4.905274868,7.989560604,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
601,82-1643,1983,42,778,41,1,757,21,0. no,0. no,1. yes,9,1. orally argued signed opinion,081/0282,0. case citation,No. 82-1643,467/0354,104/2458,0,ICC,TRUCK,0. conservative,2. burger,BURG7,673,8. economic activity,1. liberal,3. reversed and remanded,Petitioner Wins,54,NA,1. liberal,1. liberal,1. liberal,NA,0. conservative,0. conservative,1. liberal,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,0. dissent,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,BURG,0. Respondent,1. Petitioner,0,1,0,1,1,0,0,0,0,0,0,1,Yes,No,No,No,149,0. petitioner more words,0,21,18.46341515,1. yes,0. no,0. no,1. yes,0. no,0. no,5.003946304,3.737669706,6.65672636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,1. yes,3.737669706,6.65672636,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
602,82-1253,1983,25,410,12,13,160,250,0. no,1. yes,0. no,9,1. orally argued signed opinion,079/0443,0. case citation,No. 82-1253,465/0463,104/1161,0,SD,INDIAN,1. liberal,2. burger,BURG7,294,2. civil rights,1. liberal,1. affirmed,Respondent Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,0. Respondent,0. Respondent,3,2,0,5,0,0,0,1,0,1,2,3,No,No,Yes,No,149,1. respondent more words,1,19.23077011,13.33333302,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,3.218875885,6.01615715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,0. no,3.218875885,6.01615715,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
603,82-818,1983,110,2147,12,98,284,1863,1. yes,0. no,1. yes,9,1. orally argued signed opinion,079/0482,0. case citation,"No. 82-818, No. 82-852",465/0513,104/1188,0,NLRB,ER,0. conservative,2. burger,BURG7,575,7. unions,0. conservative,1. affirmed,Respondent Wins,54,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,0. dissent,1. majority,0. dissent,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,0. Respondent,0. Respondent,2,1,1,4,1,0,0,0,0,0,2,1,Yes,No,No,No,149,1. respondent more words,1,19.01020432,23.66666603,1. yes,0. no,0. no,1. yes,0. no,0. no,5.003946304,4.700480461,7.671826839,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,1. yes,4.700480461,7.671826839,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
604,83-317,1983,70,1377,29,41,638,739,0. no,0. no,0. no,9,1. orally argued signed opinion,082/0438,0. case citation,No. 83-317,468/0576,104/3229,0,CA,ARRESTEE,1. liberal,2. burger,BURG7,504,4. due process,0. conservative,2. reversed,Petitioner Wins,63,NA,1. liberal,1. liberal,0. conservative,NA,0. conservative,0. conservative,0. conservative,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,1,0,2,0,0,1,0,0,1,1,1,No,No,No,Yes,149,1. respondent more words,1,18.02439117,22,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.248495102,7.227662563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,0. no,4.248495102,7.227662563,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
605,81-2149,1983,125,2228,51,74,816,1412,0. no,0. no,0. no,9,1. orally argued signed opinion,079/0579,0. case citation,No. 81-2149,465/0638,104/1338,0,SD,AC,1. liberal,2. burger,BURG7,15,1. criminal procedure,0. conservative,3. reversed and remanded,Petitioner Wins,63,NA,1. liberal,1. liberal,0. conservative,NA,0. conservative,0. conservative,0. conservative,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,149,1. respondent more words,1,19.08108139,16,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.828313828,7.708859444,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,0. no,4.828313828,7.708859444,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
606,82-1772,1983,128,2689,59,69,1106,1583,0. no,0. no,0. no,9,1. orally argued signed opinion,080/0622,0. case citation,No. 82-1772,466/0602,104/2013,0,HHS,MED CLAI,1. liberal,2. burger,BURG7,312,2. civil rights,0. conservative,2. reversed,Petitioner Wins,63,NA,1. liberal,1. liberal,0. conservative,NA,0. conservative,0. conservative,0. conservative,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,0,1,0,1,1,0,0,0,0,0,1,0,No,Yes,No,No,149,1. respondent more words,1,22.94202805,18.74576187,1. yes,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.852030277,7.896924496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,1. yes,4.852030277,7.896924496,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
607,83-916,1983,19,337,1,18,15,322,0. no,1. yes,0. no,9,1. orally argued signed opinion,081/0680,0. case citation,No. 83-916,467/0822,104/2769,0,US,US GOEE,1. liberal,2. burger,BURG7,616,8. economic activity,0. conservative,2. reversed,Petitioner Wins,90,NA,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,0,0,1,1,0,0,0,0,0,0,1,No,Yes,No,No,149,1. respondent more words,1,17.88888931,15,1. yes,0. no,0. no,1. yes,0. no,0. no,5.003946304,2.944438934,5.820083141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,1. yes,2.944438934,5.820083141,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
608,82-849,1983,89,1418,31,58,507,911,0. no,1. yes,0. no,9,1. orally argued signed opinion,078/0379,0. case citation,No. 82-849,464/0154,104/0568,0,US,ALIEN,0. conservative,2. burger,BURG7,865,9. judicial power,1. liberal,2. reversed,Petitioner Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,0,0,0,0,1,0,0,0,0,0,0,0,Yes,No,No,No,149,1. respondent more words,1,15.70689678,16.35483932,1. yes,0. no,0. no,0. no,1. yes,0. no,5.003946304,4.488636494,7.257002831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,1. yes,4.488636494,7.257002831,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
609,82-556,1983,113,2200,57,56,1308,892,1. yes,1. yes,0. no,9,1. orally argued signed opinion,078/0629,0. case citation,No. 82-556,464/0501,104/0819,0,NEWS,CA COURT,0. conservative,2. burger,BURG7,401,3. first amendment,1. liberal,4. vacated and remanded,Petitioner Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,2,1,2,5,0,0,0,0,0,0,2,1,No,No,No,No,149,0. petitioner more words,0,15.9285717,22.94736862,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.727387905,7.696212769,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,0. no,4.727387905,7.696212769,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
610,82-599,1983,78,1644,42,36,1071,573,0. no,0. no,1. yes,9,1. orally argued signed opinion,078/0420,0. case citation,"No. 82-599, No. 82-774",464/0206,104/0597,0,IRS,TAXP,0. conservative,2. burger,BURG7,960,12. federal taxation,0. conservative,1. affirmed,Respondent Wins,54,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,0. dissent,1. majority,0. dissent,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,0. Respondent,0. Respondent,0,0,0,0,1,0,0,0,0,0,0,0,Yes,No,No,No,149,0. petitioner more words,0,15.91666698,25.5,1. yes,0. no,0. no,1. yes,0. no,0. no,5.003946304,4.356709003,7.404887676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,1. yes,4.356709003,7.404887676,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
611,82-825,1983,92,2291,59,33,1527,764,0. no,1. yes,0. no,9,1. orally argued signed opinion,080/0041,0. case citation,No. 82-825,466/0054,104/1621,0,EEOC,ER,0. conservative,2. burger,BURG7,222,2. civil rights,1. liberal,3. reversed and remanded,Petitioner Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,0,3,0,3,1,0,0,0,0,0,0,3,Yes,No,No,No,149,0. petitioner more words,0,23.15151596,25.88135529,1. yes,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.521788597,7.73674345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,1. yes,4.521788597,7.73674345,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
612,83-630,1983,107,1498,11,96,151,1347,0. no,0. no,0. no,9,1. orally argued signed opinion,081/0175,0. case citation,No. 83-630,467/0216,104/2312,0,ALIEN,TX,0. conservative,2. burger,BURG7,272,2. civil rights,1. liberal,3. reversed and remanded,Petitioner Wins,81,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,0. Respondent,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No,149,1. respondent more words,1,14.03125,13.72727299,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.672828674,7.311886311,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,1,0. no,4.672828674,7.311886311,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
613,82-1651,1983,110,2175,41,69,597,1578,0. no,0. no,0. no,9,1. orally argued signed opinion,081/0377,0. case citation,No. 82-1651,467/0431,104/2501,0,IA,AC,1. liberal,2. burger,BURG7,30,1. criminal procedure,0. conservative,3. reversed and remanded,Petitioner Wins,72,NA,1. liberal,1. liberal,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,1,2,4,0,0,1,0,0,1,1,1,No,No,No,Yes,149,1. respondent more words,1,22.86956596,14.56097603,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.700480461,7.684783936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,0. no,4.700480461,7.684783936,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
614,82-1330,1983,151,2446,74,77,1001,1445,0. no,0. no,0. no,9,1. orally argued signed opinion,082/0023,0. case citation,No. 82-1330,468/0027,104/2916,0,MS,CC,1. liberal,2. burger,BURG7,70,1. criminal procedure,1. liberal,1. affirmed,Respondent Wins,63,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,0. conservative,0. conservative,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,1,0,2,0,0,0,0,0,0,1,1,No,No,No,No,149,1. respondent more words,1,18.76623344,13.52702713,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,5.017279625,7.802209377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,0. no,5.017279625,7.802209377,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
615,82-827,1983,141,3154,59,82,1525,1629,0. no,0. no,0. no,9,1. orally argued signed opinion,079/0409,0. case citation,No. 82-827,465/0420,104/1136,0,MN,PROBATIO,1. liberal,2. burger,BURG7,21,1. criminal procedure,0. conservative,2. reversed,Petitioner Wins,63,NA,1. liberal,1. liberal,0. conservative,NA,0. conservative,0. conservative,0. conservative,1. liberal,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0. dissent,0. dissent,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,1,1,3,0,0,1,0,0,1,1,1,No,No,No,Yes,149,1. respondent more words,1,19.86585426,25.84745789,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,4.948760033,8.056427002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,1,0. no,4.948760033,8.056427002,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
616,82-1200,1983,69,1437,48,21,1062,375,0. no,1. yes,0. no,9,1. orally argued signed opinion,078/0645,0. case citation,No. 82-1200,464/0523,104/0831,0,BROKER,STOCK,1. liberal,2. burger,BURG7,636,8. economic activity,1. liberal,1. affirmed,Respondent Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,0. Respondent,0. Respondent,1,1,0,2,0,0,0,1,0,1,1,1,No,No,Yes,No,149,0. petitioner more words,0,17.8571434,22.125,0. no,0. no,0. no,1. yes,0. no,0. no,5.003946304,4.234106541,7.270312786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,0. no,4.234106541,7.270312786,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
617,82-1994,1983,272,5430,170,102,3566,1864,0. no,1. yes,0. no,9,1. orally argued signed opinion,081/0001,0. case citation,No. 82-1994,467/0001,104/2187,0,O,US,0. conservative,2. burger,BURG7,507,4. due process,1. liberal,1. affirmed,Petitioner Wins,90,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,1. liberal,1. liberal,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,0,0,1,0,1,0,0,0,0,1,0,No,Yes,No,No,149,0. petitioner more words,0,18.27450943,20.97647095,0. no,1. yes,1. yes,0. no,0. no,0. no,5.003946304,5.605802059,8.599694252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,0,1. yes,5.605802059,8.599694252,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
618,82-629,1983,43,1178,25,18,938,240,0. no,0. no,0. no,9,1. orally argued signed opinion,081/0113,0. case citation,No. 82-629,467/0138,104/2267,0,INDIAN,BUILDER,0. conservative,2. burger,BURG7,294,2. civil rights,1. liberal,4. vacated and remanded,Petitioner Wins,72,NA,1. liberal,1. liberal,1. liberal,NA,1. liberal,1. liberal,0. conservative,0. conservative,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,0. dissent,0. dissent,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,0. Respondent,3,0,0,3,0,0,1,0,0,1,3,0,No,No,Yes,No,149,0. petitioner more words,0,13.33333302,37.52000046,0. no,0. no,1. yes,0. no,0. no,0. no,5.003946304,3.76120019,7.071573257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,0,0,1,0. no,3.76120019,7.071573257,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
619,82-1474,1983,166,3340,128,38,2590,750,0. no,0. no,1. yes,7,1. orally argued signed opinion,080/0590,0. case citation,No. 82-1474,466/0558,104/1989,0,ATTY,AZ S CT,1. liberal,2. burger,BURG7,601,8. economic activity,0. conservative,2. reversed,Petitioner Wins,43,NA,0. conservative,0. conservative,1. liberal,NA,1. liberal,0. conservative,NA,1. liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,0. dissent,1. majority,0. dissent,1. majority,NA,0. dissent,NA,NA,NA,NA,NA,NA,NA,NA,NA,BURG,NA,NA,2,1,1,4,0,0,0,1,0,1,1,2,No,No,Yes,No,149,0. petitioner more words,0,19.7368412,20.234375,0. no,0. no,0. no,1. yes,0. no,0. no,5.003946304,5.111987591,8.113725662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,0. no,5.111987591,8.113725662,0. Respondent,NA,NA,NA,NA,NA,NA,NA,NA
620,82-799,1983,90,1830,33,57,695,1135,0. no,1. yes,0. no,9,1. orally argued signed opinion,078/0195,0. case citation,No. 82-799,464/0089,104/0439,0,US,UMEM,1. liberal,2. burger,BURG7,586,7. unions,0. conservative,2. reversed,Petitioner Wins,90,NA,0. conservative,0. conservative,0. conservative,NA,0. conservative,0. conservative,0. conservative,0. conservative,0. conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,1. majority,NA,NA,NA,NA,NA,NA,NA,NA,BURG,1. Petitioner,1. Petitioner,1,2,0,3,1,0,0,0,0,0,2,1,No,Yes,No,No,149,1. respondent more words,1,19.91228104,21.060606,1. yes,0. no,0. no,1. yes,0. no,0. no,5.003946304,4.499809742,7.512071133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.720000029,1,0.720000029,0,1. yes,4.499809742,7.512071133,1. Petitioner,NA,NA,NA,NA,NA,NA,NA,NA
